GEOID10,pop
1005950300,1638
1005950900,4583
1005950800,2055
1005950700,1727
1005950600,2099
1005950100,3321
1005950400,4303
1005950200,4264
1005950500,3467
1027959000,3224
1027959200,2480
1027958900,5324
1027959100,2904
1091973300,2088
1091973100,2150
1091973000,4762
1091973200,2473
1091973400,4319
1091972900,5235
1069040301,3928
1069040302,3589
1069041100,3849
1069040700,2662
1069041000,5145
1069041500,4173
1069040100,4949
1069040400,2484
1069041400,3093
1069041200,2539
1069040201,9001
1069040500,3458
1069041800,2305
1069040900,4657
1069040800,7774
1069040202,8142
1069040600,2471
1069041600,5377
1069041700,1402
1069042000,5683
1069042100,7294
1069041900,7572
1127021200,3445
1127020800,5613
1127021400,3691
1127021300,3557
1127021000,3851
1127020900,5071
1127020700,3092
1127020600,2497
1127020400,2306
1127020300,7049
1127020200,4304
1127020100,3739
1127021600,1484
1127021900,2493
1127021800,3709
1127021700,4085
1127021500,3456
1127021100,3581
1073014409,3309
1073014412,4162
1073014413,8852
1073012914,1927
1073012915,6083
1073014001,4011
1073014002,3656
1073005910,5234
1073011109,4123
1073011111,8018
1073014105,4186
1073011210,3820
1073011104,7903
1073010802,3448
1073010703,2304
1073012907,4831
1073014404,5433
1073010402,1855
1073011206,5686
1073012908,4746
1077011604,6610
1077011502,5231
1077011602,5073
1077011300,2353
1077011801,4922
1077011200,4023
1077011700,4480
1077011000,4612
1077010700,2098
1077010600,2740
1077010400,2871
1077011501,6260
1077011102,4465
1073011108,4548
1073005104,3648
1073004902,3146
1073004901,1167
1073012305,7947
1073012304,2611
1073005103,2587
1073005909,2539
1073005907,2096
1073014301,2802
1073014204,9787
1073002200,2630
1073014405,3929
1073010002,4932
1073014104,3317
1073013300,3588
1073005800,4216
1073014102,4918
1077010900,7081
1077010800,3797
1077010300,1513
1077010200,1953
1077010100,1959
1077011400,6563
1103005701,2658
1089001401,1579
1089003100,2982
1073012401,3737
1073010602,6266
1073001200,2876
1073003500,2795
1073010001,5289
1073014302,5666
1073014203,12502
1073013100,4508
1073012701,3537
1103005106,6262
1103005702,6376
1103005107,4353
1103005108,3909
1103005109,4577
1103005405,5208
1103005404,5161
1103005304,5554
1089003000,3086
1089010623,5845
1089010624,8187
1089001302,1844
1073000400,3338
1073012402,3077
1073011703,9111
1073001600,3390
1073000700,2577
1073001500,3189
1073001400,2181
1073003100,3637
1103005303,3971
1103005302,3481
1103005301,7940
1103005500,5687
1103005600,5655
1103000900,5511
1103000800,3121
1103000400,3929
1103000300,2748
1103005103,875
1089001301,3868
1089011012,5976
1089010701,7848
1089010401,6027
1089011200,8316
1089010200,5516
1089010100,9355
1089002922,4387
1089011400,4339
1089011300,5242
1089011011,9111
1089010402,6736
1089010301,8125
1089011022,6466
1089011014,8722
1089002911,4535
1073003001,3779
1073000800,3859
1073003600,4683
