GEOID,district
55127001602,1
55127001701,1
55059003001,1
55127001702,1
55105003200,1
55127000302,1
55127000600,1
55127000701,1
55015020400,2
55015020500,2
55015020200,2
55071010400,2
55071010500,2
55071990000,2
55117001100,2
55117990000,2
55089630100,3
55089630202,3
55089660304,3
55089990000,3
55101001501,3
55101001504,3
55079030100,3
55079990000,3
55133201300,4
55133201403,4
55079101000,4
55133201402,4
55079090600,4
55079185300,4
55133201000,4
55133201101,4
55021971100,5
55021971200,5
55025011700,5
55025011900,5
55025011800,5
55055100400,5
55027961700,5
55027961900,5
55005001002,6
55017011100,6
55017010800,6
55017010900,6
55005000600,6
55005000800,6
55005001001,6
55033970100,6
55103970300,7
55103970400,7
55103970200,7
55111001100,7
55111000900,7
55111001002,7
55103970100,7
55123960100,7
55087013200,8
55135100100,8
55115100700,8
55115100900,8
55135100200,8
55135101100,8
55097960100,8
55135100300,8
55025002100,5
55025002200,5
55025002401,5
55025002402,5
55025001604,5
55025001705,5
55025001900,5
55025002000,5
55031020700,6
55031030200,6
55031020600,6
55031020800,6
55031020300,6
55031021100,6
55031020400,6
55031020500,6
55105001100,1
55105001400,1
55105001302,1
55105001304,1
55105000200,1
55105000900,1
55105000700,1
55105000800,1
55079006400,4
55079006500,3
55079008600,3
55079008700,4
55079004600,3
55079006600,3
55079008500,3
55079185500,3
55133203200,5
55133203303,5
55133203405,5
55133203601,5
55133203101,5
55133203702,5
55133203602,5
55133203704,5
55087012601,8
55087012602,8
55087011000,8
55139002400,8
55087010100,2
55087010300,2
55087011300,2
55087011501,2
55003950800,6
55003990000,6
55003940000,6
55051180200,6
55003950300,6
55003950500,6
55003950400,6
55007960300,6
55025002900,5
55025010300,5
55025001401,5
55025991703,5
55025002603,5
55025003002,5
55025003001,5
55025003100,5
55079000600,3
55079001400,3
55079000501,4
55079000502,4
55079000302,4
55079000304,3
55079000102,3
55079000700,3
55013970800,6
55013970900,6
55013971000,6
55095960200,6
55005000200,6
55005000300,6
55095960300,6
55095960600,6
55001950700,7
55021970300,7
55021970400,7
55021970500,7
55057100600,7
55057100700,7
55111000100,7
55111000300,7
55067960500,8
55083100300,8
55041950200,8
55041950300,8
55067960400,8
55067960600,8
55073001600,8
55115100800,8
55079001300,3
55079001500,3
55079001600,4
55079001800,4
55079001700,4
55079003000,4
55079003200,4
55079003300,4
55131420104,3
55131420200,3
55027960100,5
55131430100,5
55131420300,3
55131420401,3
55131420106,3
55131420402,3
55079185400,4
55079185900,4
55079009700,4
55079185800,4
55079014100,3
55079186200,4
55079014600,4
55079014700,4
55117000900,2
55117001000,2
55117010800,2
55117011300,2
55117010100,2
55117010700,2
55015020600,2
55071010600,2
55079014300,3
55079186900,3
55079010800,3
55079011000,3
55079011100,3
55079011200,3
55079010600,3
55079010700,3
55127000400,1
55127000501,1
55127000301,1
55127000502,1
55055101202,1
55055101500,1
55055101201,1
55055101400,1
55097960500,8
55097960702,8
55097960600,8
55097960701,8
55097961300,7
55137960200,7
55137960300,7
55137960800,7
55117010601,2
55117010900,2
55117010200,2
55117010602,2
55117010501,2
55117010502,2
55071010700,2
55117010300,2
55027962000,5
55055100200,5
55055100100,5
55055100300,5
55055100700,5
55055101701,5
55055101702,5
55133204400,5
55043960300,7
55043960600,7
55043960900,7
55043961000,7
55023960400,7
55023960500,7
55023960100,7
55023960300,7
55015020700,2
55087011600,2
55087011700,2
55087011800,2
55087012000,2
55087012100,2
55087012200,2
55087012300,2
55009000100,8
55009000500,8
55009000800,2
55009001000,2
55009020800,2
55009020900,2
55009001300,2
55009001400,2
55079011300,3
55079011400,3
55079014400,3
55079186300,3
55079186800,4
55079187400,3
55079013300,4
55079013400,4
55071000200,2
55071010200,2
55071000300,2
55071000600,2
55071000400,2
55071000500,2
55071000700,2
55071000800,2
55079000400,4
55133200600,4
55133200202,3
55133200400,4
55079000301,4
55079000303,4
55079000201,3
55079000202,3
55141011600,7
55141011700,7
55141011000,7
55141011400,7
55141010800,7
55141010900,7
55141011200,7
55141011300,7
55101001100,1
