GEOID,district
55067960500,1
55083100300,1
55041950200,1
55041950300,1
55067960400,1
55067960600,1
55073001600,1
55115100800,1
55127001602,2
55127001701,2
55059003001,2
55127001702,2
55105003200,2
55127000302,2
55127000600,2
55127000701,2
55139001700,3
55139002300,3
55139000400,3
55139000900,3
55087012504,3
55087013300,3
55015020306,3
55139003702,3
55027960400,4
55027961100,4
55027960300,4
55039041800,4
55027961500,4
55027961600,4
55131440104,4
55131440106,4
55089630100,5
55089630202,5
55089660304,5
55089990000,5
55101001501,5
55101001504,5
55079030100,5
55079990000,5
55133201300,6
55133201403,6
55079101000,6
55133201402,6
55079090600,6
55079185300,6
55133201000,6
55133201101,6
55005001002,7
55017011100,7
55017010800,7
55017010900,7
55005000600,7
55005000800,7
55005001001,7
55033970100,7
55021970800,8
55111000600,8
55111000200,8
55111001001,8
55025012800,8
55025012900,8
55025010904,8
55025013000,8
55025002100,8
55025002200,8
55025002401,8
55025002402,8
55025001604,8
55025001705,8
55025001900,8
55025002000,8
55031020700,7
55031030200,7
55031020600,7
55031020800,7
55031020300,7
55031021100,7
55031020400,7
55031020500,7
55105001100,2
55105001400,2
55105001302,2
55105001304,2
55105000200,2
55105000900,2
55105000700,2
55105000800,2
55079006400,6
55079006500,5
55079008600,5
55079008700,6
55079004600,5
55079006600,5
55079008500,5
55079185500,5
55133203200,4
55133203303,4
55133203405,4
55133203601,4
55133203101,4
55133203702,4
55133203602,4
55133203704,4
55087012601,3
55087012602,1
55087011000,3
55139002400,3
55087010100,3
55087010300,3
55087011300,3
55087011501,3
55003950800,1
55003990000,1
55003940000,1
55051180200,1
55003950300,1
55003950500,1
55003950400,1
55007960300,7
55025002900,8
55025010300,8
55025001401,8
55025991703,8
55025002603,8
55025003002,8
55025003001,8
55025003100,8
55079000600,5
55079001400,5
55079000501,5
55079000502,5
55079000302,5
55079000304,5
55079000102,5
55079000700,5
55013970800,7
55013970900,7
55013971000,7
55095960200,7
55005000200,7
55005000300,7
55095960300,7
