GEOID,district
55079012300,1
55079013300,1
55079186400,1
55079186800,1
55079012200,1
55079013600,1
55107960200,2
55113100400,2
55107960400,2
55107960300,2
55005001002,2
55033970100,2
55005001001,2
55135100200,3
55115100700,3
55135101100,3
55115100900,3
55115100300,3
55115101100,3
55115101000,3
55101002100,4
55101980000,4
55101001900,4
55101001802,4
55101002002,4
55101002701,4
55101002001,4
55133202002,4
55057100300,5
55057100200,5
55057100600,5
55057100700,5
55111000900,5
55111001002,5
55111001001,5
55015020600,6
55071010700,6
55015020400,6
55139001600,6
55039040700,6
55039040800,6
55039041400,6
55039042100,6
55133200400,7
55133200500,7
55133200803,7
55133200801,7
55133200202,7
55131470204,7
55089660201,7
55131470203,7
55025011101,8
55025011000,8
55025010904,5
55025013000,5
55025012400,8
55025012502,8
55049950500,5
55025012600,8
55079990000,1
55101990000,1
55089990000,1
55117990000,1
55061990000,1
55071990000,1
55029990000,1
55029100100,1
55031990000,2
55007990000,2
55003990000,2
55051990000,2
55003950600,2
55051180200,2
55051180100,2
55029100400,1
55029100300,1
55083990000,6
55075990000,6
55075961500,6
55079011400,1
55079010600,1
55079014100,1
55079186000,1
55079186200,1
55079185900,1
55079185800,1
55079185400,1
55079018000,1
55079980000,1
55079186900,1
55079018500,1
55079021100,1
55079186600,1
55079018400,1
55079008500,1
55079008400,1
55079008700,1
55079008600,1
55079009900,1
55079009800,1
55079008900,1
55079008800,1
55069960300,3
55069960500,3
55069960200,3
55085970500,3
55085971001,2
55069960400,3
55099970600,2
55079185500,1
55079185600,1
55079006700,1
55079185700,1
55079008100,1
55079008000,1
55079007000,1
55079003600,1
55079003800,1
55079004000,1
55079002700,1
55079002800,1
55079002600,1
55025991702,8
55025010200,8
55025010100,8
55025000100,8
55025000408,8
55025000201,8
55025000300,8
55113100700,2
55113100800,2
55099970400,2
55099970500,2
55107960500,2
55107960100,2
55079014600,1
55079186300,1
55079014700,1
55079186100,1
55079014800,1
55079011000,1
55079011300,1
55079011100,1
55079010700,1
55079011200,1
55079007900,1
55079007100,1
55059990000,1
55059001000,4
55059001900,1
55059001800,1
55059002200,1
55059002100,1
55079005200,7
55079005300,7
55079003400,7
55079005400,7
55079005500,7
55009001000,6
55009000800,3
55009001100,6
55009001200,6
55009020800,6
55009020900,6
55009021000,6
55009021100,6
55079007400,1
55079007300,1
55079007200,1
55079080300,1
55079080200,1
55011960400,2
55011960300,2
55011960100,2
55121100300,2
55011960500,2
55121100600,2
55079020300,1
55079021200,1
55079021300,1
55079021000,1
55079020900,1
55079185200,1
55079009700,1
55079009600,1
55079009500,1
55079009200,1
55079009300,1
55079009400,1
55079091000,1
55078940102,3
55078940101,3
55115100600,3
55067960300,3
55067960500,3
55067960600,3
55025001501,8
55025991703,8
55025002800,8
55025002700,8
55025002500,8
55025002601,8
55025002402,8
55025002401,8
55067960100,3
55085970102,3
55069960100,3
55085971100,3
55041950100,3
55085970101,3
55037190200,3
55037190100,3
55079012500,1
55079013000,1
55079012700,7
55079012600,7
55079100700,7
55079012800,7
55079100600,7
55079100400,7
55003950700,2
55051180300,2
55099970100,2
55099970200,2
55085970601,2
55085970900,2
55085971002,2
55085971300,2
55075960900,3
