GEOID,district
55015020400,1
55015020500,1
55015020200,1
55071010400,1
55071010500,1
55071990000,1
55117001100,1
55117990000,1
55045960200,2
55049950500,2
55045960300,2
55105002800,2
55105003001,2
55105003002,2
55105001303,2
55105003100,2
55021971100,7
55021971200,3
55025011700,3
55025011900,3
55025011800,3
55055100400,3
55027961700,7
55027961900,7
55079130200,4
55079150301,4
55079150303,4
55079187200,4
55101002001,4
55133202002,4
55133201504,4
55133201900,4
55009020503,5
55009940001,5
55009940003,5
55009940004,5
55009020203,5
55009020502,5
55009020204,5
55083101300,5
55113100800,6
55113940000,6
55113100300,6
55113100500,6
55107960100,6
55113100700,6
55107960400,6
55107960500,6
55001950202,7
55137960400,7
55001950100,7
55057100100,7
55001950501,7
55057100300,7
55001950502,7
55057100400,7
55079002100,8
55079002200,8
55079002300,8
55079060200,8
55079035100,1
55079035200,1
55079070200,8
55079070300,8
55025002100,3
55025002200,3
55025002401,3
55025002402,3
55025001604,3
55025001705,3
55025001900,3
55025002000,3
55031020700,6
55031030200,6
55031020600,6
55031020800,6
55031020300,6
55031021100,6
55031020400,6
55031020500,6
55105001100,2
55105001400,2
55105001302,2
55105001304,2
55105000200,2
55105000900,2
55105000700,2
55105000800,2
55079006400,8
55079006500,8
55079008600,8
55079008700,8
55079004600,8
55079006600,8
55079008500,8
55079185500,8
55133203200,3
55133203303,3
55133203405,3
55133203601,3
55133203101,3
55133203702,3
55133203602,3
55133203704,3
55087012601,5
55087012602,5
55087011000,5
55139002400,5
55087010100,5
55087010300,5
55087011300,5
55087011501,5
55003950800,6
55003990000,6
55003940000,6
55051180200,6
55003950300,6
55003950500,6
55003950400,6
55007960300,6
55025002900,3
55025010300,3
55025001401,3
55025991703,3
55025002603,3
55025003002,3
55025003001,3
55025003100,3
55079000600,8
55079001400,8
55079000501,8
55079000502,8
55079000302,8
55079000304,8
55079000102,8
55079000700,8
55013970800,6
55013970900,6
55013971000,6
55095960200,6
55005000200,6
55005000300,6
55095960300,6
55095960600,6
55001950700,7
55021970300,7
55021970400,7
