GEOID,district
55025011200,1
55077960200,1
55111001100,1
55063001101,1
55025010702,1
55063001102,1
55057100300,1
55111000600,1
55023960600,1
55063000600,1
55065970200,1
55111000100,1
55023960100,1
55097961000,1
55141011500,1
55025013301,1
55025013302,1
55025000503,1
55025000504,1
55141011000,1
55021971000,1
55025012800,1
55043960900,1
55021970500,1
55123960400,1
55043960400,1
55081950800,1
55047100500,1
55081950300,1
55049950300,1
55103970400,1
55025011301,1
55025011302,1
55077960300,1
55025010800,1
55063001200,1
55057100400,1
55049950200,1
55111000700,1
55065970300,1
55063000700,1
55111000200,1
55023960200,1
55097961100,1
55141011600,1
55097960600,1
55137960600,1
55025012900,1
55137960100,1
55043961000,1
55021970600,1
55025012400,1
55123960500,1
55021970100,1
55027960500,1
55141010100,1
55047100600,1
55043960500,1
55081950900,1
55001950400,1
55049950400,1
55081950400,1
55103970500,1
55047100100,1
55077960400,1
55057100500,1
55025010901,1
55025010903,1
55025010904,1
55111000800,1
55063000800,1
55065970400,1
55023960300,1
55111000300,1
55097961200,1
55141011700,1
55137960700,1
55097960701,1
55097960702,1
55025013000,1
55137960200,1
55043961100,1
55021970700,1
55025000204,1
55025000205,1
55025012501,1
55025012502,1
55021970200,1
55123960600,1
55043960600,1
55123960100,1
55001950501,1
55001950502,1
55049950500,1
55081950500,1
55043960100,1
55063010600,1
55047100200,1
55103970100,1
55077960500,1
55025011000,1
55057100600,1
55111000900,1
55057100100,1
55065970500,1
55063000900,1
55023960400,1
55111000401,1
55111000402,1
55097961300,1
55097960800,1
55137960800,1
55141011300,1
55025013100,1
55137960300,1
55043961200,1
55021970800,1
55141010800,1
55025012600,1
55123960700,1
55021970300,1
55043960700,1
55123960200,1
55049950600,1
55043960200,1
55081950600,1
55063010700,1
55047100300,1
55049950100,1
55081950100,1
55001950100,1
55103970200,1
55057100700,1
55025011101,1
55025011102,1
55025002401,1
55025002402,1
55077960100,1
55053960100,1
55057100200,1
55111001001,1
55111001002,1
55063001000,1
55023960500,1
55111000500,1
55065970100,1
55063000500,1
55097960900,1
55025013700,1
55141011400,1
55025013200,1
55137960400,1
55141010900,1
55021970900,1
55025000406,1
55025012700,1
55021970400,1
55043960800,1
55001950700,1
55123960300,1
55043960300,1
55081950700,1
55063010800,1
55047100400,1
55081950200,1
55001950201,1
55001950202,1
55103970300,1
55069960200,2
55019950600,2
55053960200,2
55061960200,2
55079180300,2
55073002000,2
55071005200,2
55083101200,2
55079018000,2
55019950100,2
55119960600,2
55073001500,2
55083100700,2
55115100700,2
55119960100,2
55125950500,2
55071000100,2
55115100200,2
55099970600,2
55073001000,2
55085971500,2
55059001900,2
55079016500,2
55097960500,2
55099970100,2
55073000500,2
55037190200,2
55079020600,2
55029100600,2
55075961400,2
55085971001,2
55085971002,2
55079186500,2
55075960900,2
55085970500,2
55141010500,2
55029100100,2
55059000900,2
55067960400,2
55041950300,2
55069960800,2
55069960300,2
55019950700,2
55117990000,2
55061990000,2
55029990000,2
55101990000,2
55071005300,2
55073002100,2
55083101300,2
55079018100,2
55019950200,2
55073001600,2
55115100800,2
55083100800,2
55125950600,2
55119960200,2
55115100300,2
55083100300,2
55099970700,2
55073001102,2
55073001103,2
55073001104,2
55079016600,2
55099970200,2
55073000601,2
55073000602,2
55029100700,2
55079020700,2
55075961500,2
55085971100,2
55141011100,2
55009021600,2
55073000100,2
55097960100,2
55075961000,2
55079186600,2
55141010600,2
55085970601,2
55135101100,2
55085970602,2
55059001000,2
55059000500,2
55085970101,2
55085970102,2
55067960500,2
55009020600,2
55041950400,2
55009020100,2
55069960900,2
55135100100,2
55079185100,2
55069960400,2
55019950800,2
55061960400,2
55073002200,2
55071005400,2
55079018200,2
55019950300,2
55073001700,2
55083100900,2
55115100900,2
55119960300,2
55125950700,2
55071990000,2
55115100400,2
55079990000,2
55073001201,2
55073001202,2
55125950200,2
55073000700,2
55079020800,2
55029100800,2
55141011200,2
55073000200,2
55097960200,2
55075961100,2
55141010700,2
55029100300,2
55141010200,2
55067960600,2
55059000602,2
55075960600,2
55125940000,2
55059000100,2
55067960100,2
55075960100,2
55069961000,2
55079185200,2
55069960500,2
55071010100,2
55061960500,2
55073002300,2
55079018300,2
55019950400,2
55079180100,2
55073001800,2
55083101000,2
55115101000,2
55119960400,2
55083100500,2
55115100500,2
55073001300,2
55099970400,2
55073000800,2
55029100900,2
55079020900,2
55085971300,2
55073000300,2
55097960300,2
55075961200,2
55089990000,2
55085970800,2
55029100400,2
55141010300,2
55059000700,2
55067960700,2
55075960700,2
55075960200,2
55041950100,2
55069960600,2
55071010200,2
55079018400,2
55019950500,2
55061960100,2
55069960100,2
55079180200,2
55071005100,2
55073001900,2
55115101100,2
55083101100,2
55079017900,2
55119960500,2
55083100600,2
55115100600,2
55073001400,2
55099970500,2
55078940101,2
55078940102,2
55073000900,2
55029101000,2
55059001800,2
55079021000,2
55079187400,2
55115100100,2
55085971400,2
55073000400,2
55097960400,2
55079186900,2
55075961300,2
55085970900,2
55037190100,2
55029100500,2
55079980000,2
55141010400,2
55085970400,2
55075960800,2
55067960300,2
55059000300,2
55075990000,2
55083990000,2
55059990000,2
55041950200,2
55069960700,2
55139003400,3
55009002001,3
55009002002,3
55009002003,3
55139002900,3
55071000600,3
55009010201,3
55009010202,3
55139002400,3
55009940001,3
55009940002,3
55009940003,3
55009940004,3
55087012901,3
55087012902,3
