GEOID,district
55079990000,1
55101990000,1
55089990000,1
55117990000,1
55061990000,1
55071990000,1
55029990000,1
55029100100,1
55079012500,2
55079013000,2
55079012700,2
55079012600,2
55079100700,2
55079012800,2
55079100600,2
55079100400,2
55107960200,3
55113100400,3
55107960400,3
55107960300,3
55005001002,3
55033970100,3
55005001001,3
55001950201,4
55001950501,4
55057100100,4
55001950202,4
55141010800,4
55053960100,4
55053960200,4
55019950800,4
55105003200,5
55127000301,5
55127000200,5
55127000302,5
55127000901,5
55087013300,6
55087012400,6
55087012901,6
55087013100,6
55087940000,6
55009020504,6
55009020503,6
55025011101,7
55025011000,7
55025010904,7
55025013000,7
55025012400,7
55025012502,7
55049950500,7
55025012600,7
55027961300,8
55027960100,8
55131450106,8
55131430100,8
55131420300,8
55131420200,8
55131420103,8
55131400104,8
55031990000,3
55007990000,3
55003990000,3
55051990000,3
55003950600,3
55051180200,3
55051180100,3
55029100400,1
55029100300,1
55083990000,6
55075990000,6
55075961500,6
55079012300,2
55079013300,2
55079186400,2
55079186800,2
55079012200,2
55079013600,2
55079011400,2
55079010600,2
55079014100,2
55079186000,2
55079186200,2
55079185900,2
55079185800,2
55079185400,2
55079018000,1
55079980000,2
55079186900,2
55079018500,1
55079021100,1
55079186600,1
55079018400,1
55079008500,2
55079008400,2
55079008700,2
55079008600,2
55079009900,2
55079009800,2
55079008900,2
55079008800,2
55069960300,3
55069960500,3
55069960200,3
55085970500,3
55085971001,3
55069960400,3
55099970600,3
55079185500,2
55079185600,2
55079006700,2
55079185700,2
55079008100,2
55079008000,2
55079007000,2
55079003600,2
55079003800,2
55079004000,2
55079002700,1
55079002800,1
55079002600,1
55025991702,7
55025010200,7
55025010100,7
55025000100,7
55025000408,7
55025000201,7
55025000300,7
55113100700,3
55113100800,3
55099970400,3
55099970500,3
55107960500,3
55107960100,3
55079014600,2
55079186300,2
55079014700,2
55079186100,2
55079014800,2
55079011000,2
55079011300,2
55079011100,2
55079010700,2
55079011200,2
55079007900,2
55079007100,2
55059990000,1
55059001000,1
55059001900,1
55059001800,1
55059002200,5
55059002100,5
55079005200,2
55079005300,2
55079003400,2
55079005400,2
55079005500,2
55009001000,6
55009000800,6
55009001100,6
55009001200,6
55009020800,6
55009020900,6
